CNE_EIC,Type,lng,lat
11T0-0000-0949-E,Line,14,51.64
11TD8L463------C,Line,10.9903,50.5742
11TD8L464------4,Line,11.0103,50.5942
11T0-0000-0008-4,Line,13.3178,53.7367
11T0-0000-0009-1,Line,13.1786,53.6242
11T0-0000-0010-O,Line,13.1786,53.6242
11TD8L551------R,Line,14.5074,51.4134
11TD8L552------J,Line,14.5274,51.43340000000001
11TD8L557------G,Line,14.5074,51.4134
11TD8L558------8,Line,14.5274,51.43340000000001
11TD8L275------7,Line,12.214,54.0998
11TD8L543------K,Line,12.234,54.11980000000001
11TD8L544------C,Line,12.254,54.1398
11TD8L305------N,Line,13.9568,53.2521
11TD8L906------T,Line,13.3097,52.5225
11TD8L592------K,Line,13.8408,50.9895
11TD8L591------S,Line,13.8408,50.9895
11TD8L454------D,Line,10.3858,51.0019
11TD8L547------P,Line,14.5112,52.1616
11T0000000000023,Line,14.5312,52.1816
11TD8L587------Q,Line,12.5171,51.1565
11TD8L588------I,Line,12.5371,51.1765
11TD8L203------C,Line,12.5171,51.1565
11TD8L208------9,Line,12.5171,51.1565
11TD8L357-----0Y,Line,12.5171,51.1565
11TD8L358------S,Line,12.5371,51.1765
11T0-0000-0042-6,Line,11.6442,51.9085
11TD8L594------4,Line,13.2557,50.9308
11TD8L921------E,Line,13.4561,52.5215
11TD8L922------6,Line,13.4761,52.54150000000001
11TD8L919------X,Line,13.4561,52.5215
11TD8L920------M,Line,13.4761,52.54150000000001
11TD8L423------B,Line,11.3727,53.6011
11TD8L517-----1B,Line,13.2633,52.9943
11TD8L565------N,Line,14.4692,51.5544
11TD8L566------F,Line,14.4892,51.5744
11TD8L541-----0Y,Line,14.4692,51.5544
11TD8L542------S,Line,14.4892,51.5744
11TD8L514-----1Z,Line,12.186,53.816
11TD8L553------B,Line,14.9462,51.0621
11TD8L554------3,Line,14.9662,51.0821
11TD8L951------O,Line,9.9841,53.7421
11TD8L952------G,Line,10.0041,53.7621
11TD8L961------F,Line,10.1598,53.555
11TD8L962------7,Line,10.1798,53.575
11TD8L991------P,Line,10.1598,53.555
11TD8L992------H,Line,10.1798,53.575
11TD8L971------6,Line,9.9099,53.4884
11TD8L972------Z,Line,9.9299,53.5084
11T0000000000015,Line,14.1372,52.4426
11TD8L295------Q,Line,13.2065,52.6578
11TD8L499------B,Line,13.0584,51.8
11TD8L500------6,Line,13.0584,51.8
11TD8L538------Q,Line,11.5151,51.5846
11TD8L419------9,Line,10.4136,53.4134
11TD8L420------Z,Line,10.4136,53.4134
11TD8L471------J,Line,11.891,51.4054
11TD8L472------B,Line,11.911,51.4254
11TD8L535------D,Line,11.891,51.4054
11TD8L475------O,Line,13.6821,54.1394
11T0-0000-0007-7,Line,13.6821,54.1394
11TD8L313------U,Line,13.6821,54.1394
11TD8L314------M,Line,13.7021,54.15940000000001
11TD8L509------8,Line,13.6821,54.1394
11TD8L510------Y,Line,13.7021,54.15940000000001
11TD8L318------R,Line,13.0803,54.2857
11TD8L317-276--N,Line,13.0803,54.2857
11TD8L504------B,Line,12.2632,51.7401
11TD8L301------I,Line,13.5242,52.5356
11TD8L302------A,Line,13.5242,52.5356
11TD8L520------P,Line,13.7047,52.5384
11TD8L495------6,Line,13.7047,52.5384
11TD8L496------Z,Line,13.7247,52.55840000000001
11TD8L328------I,Line,11.90017,53.40724
11TD8L332-322--6,Line,11.90017,53.40724
11TD8L315------E,Line,14.034,53.5081
11TD8L316------6,Line,14.054,53.5281
11TD8L516------N,Line,11.8533,53.0863
11T0-0000-0948-H,Line,14.4286,51.8881
11TD8L560------Q,Line,14.4286,51.8881
11TD8L589------A,Line,12.337,51.1972
11TD8L590-----0Y,Line,12.357,51.21720000000001
11TD8L596------P,Line,12.1089,53.2505
11TD8L515------V,Line,12.1089,53.2505
11TD8L532------0,Line,13.9057,51.876
11TD8L502-----1N,Line,13.9057,51.876
11T0-0000-0041-9,Line,13.9257,51.896
11TD8L539------I,Line,13.9057,51.876
11TD8L540------7,Line,13.9257,51.896
11T0-0000-0040-C,Line,13.9057,51.876
11T0-0000-0043-3,Line,13.9057,51.876
11TD8L562------A,Line,13.9257,51.896
11TD8L574------M,Line,11.6465,50.5336
11TD8L575------E,Line,11.6465,50.5336
11TD8L904------8,Line,13.2489,52.5316
11TD8L903------G,Line,13.2489,52.5316
11TD8L207------H,Line,12.811,50.859
11TD8L573------U,Line,12.831,50.879
11TD8L555------W,Line,14.2193,51.1205
11TD8L556------O,Line,14.2393,51.1405
11TD8L503-----1F,Line,13.157,51.8288
11TD8L512-----1E,Line,13.1434,53.9079
11TD8L513-----16,Line,13.1434,53.9079
11T0-0000-0979-2,Line,11.72678,52.5689
11T0-0000-0980-P,Line,11.74678,52.5889
11TD8L489------K,Line,11.76678,52.6089
11TD8L490------9,Line,11.78678,52.6289
11TD8L585------5,Line,13.3823,51.3567
11TD8L586------Y,Line,13.4023,51.3767
11TD8L571------9,Line,13.3823,51.3567
11TD8L572------1,Line,13.4023,51.3767
11TD8L907------L,Line,13.2116,52.5808
11TD8L908------D,Line,13.2316,52.60080000000001
11TD8L522------9,Line,13.3049,52.2309
11T0-0000-2182-A,Line,14.2677,53.0987
11T0-0000-0110-J,Line,14.2677,53.0987
11T0-0000-2031-1,Line,14.2877,53.1187
11TD8L306------F,Line,14.2677,53.0987
11TD8L467------H,Line,11.1241,51.0003
11TD8L468------9,Line,11.1441,51.02030000000001
11TD8L415------4,Line,11.1241,51.0003
11TD8L416------X,Line,11.1241,51.0003
11TD8L367------R,Line,11.1241,51.0003
11TD8L368------J,Line,11.1441,51.02030000000001
11TD8L424------3,Line,11.6992,53.5736
11TD8L437------7,Line,11.639,52.2693
11TD8L438-----0Y,Line,11.659,52.2893
11TD8L536------5,Line,11.639,52.2693
11TD8L493------M,Line,11.639,52.2693
11TD8L494------E,Line,11.639,52.2693
11TD8L291------L,Line,13.5059,52.4741
11TD8L521-525--G,Line,12.9419,52.5609
11TD8L498------J,Line,12.9419,52.5609
11TD8L526------E,Line,12.9419,52.5609
11TD400000598-LE,Line,9.37,48.72
11TD400000597-LI,Line,9.37,48.72
11TD400000568-LT,Line,8.52,49.32
11TD400000580-LE,Line,8.52,49.32
11TD400000559-LU,Line,8.49,47.81
11TD400000569-LP,Line,8.49,47.81
11TD400000581-LA,Line,8.64,48.89
14T-220-0-002977,Line,16.38283,48.35867
14T-220-0-002985,Line,16.40283,48.37867
14T-380-0-0436AJ,Line,16.42283,48.39867
14T-380-0-443AK0,Line,16.44283,48.41867
14T-380-0-0444AL,Line,16.46283,48.43866999999999
14T-220-0-0228BT,Line,16.38283,48.35867
14T-380-0-0444CH,Line,16.38283,48.35867
14T-220-0-00227S,Line,16.38283,48.35867
14T-380-0-0436BH,Line,16.40283,48.37867
14T-220-0-00207Y,Line,16.38283,48.35867
14T-220-0-00208W,Line,16.40283,48.37867
14T-380-0-0443BM,Line,16.38283,48.35867
11TD400000566-L0,Line,8.12,48.71
11TD400000600-LB,Line,9.56,48.71
11TD400000601-L7,Line,9.56,48.71
11TD400000538-L7,Line,9.81,47.14
11TD400000537-LB,Line,9.83,47.16
11TD400000588-LJ,Line,8.31,48.9
11TD400000577-LS,Line,8.33,48.92
11TD400000590-L9,Line,8.31,48.9
11TD400000584-LZ,Line,8.33,48.92
11T-D4-D7-00004Q,Line,8.31,48.9
11TD400000586-LR,Line,8.31,48.9
11TD400000562-LG,Line,8.31,48.9
11TD400000585-LV,Line,8.33,48.92
11TD400000552-LL,Line,8.31,48.9
11TD400000547-L6,Line,8.31,48.9
11T0-D4NOEIC-003,Line,8.45,49.2
11T0-D4NOEIC-004,Line,8.469999999999999,49.22000000000001
11TD400000526-LK,Line,9.88,48.31
11TD400000535-LJ,Line,9.88,48.31
11TD400000593-LY,Line,9.88,48.31
14T-380-0-0434BN,Line,15.88372,48.32866
14T-380-0-00433L,Line,15.88372,48.32866
14T-380-0-0435AM,Line,15.88372,48.32866
11TD400000571-LF,Line,7.96,48.1
11TD400000572-LB,Line,7.98,48.12
11TD400000573-L7,Line,7.96,48.1
11TD400000579-LK,Line,7.96,48.1
11TD400000578-LO,Line,7.98,48.12
11TD400000528-LC,Line,9.38,48.82
11T0-0000-0097-8,Line,8.87,48.32
11TD40000A548-L6,Line,8.87,48.32
14T-220-0-0203CD,Line,14.477577,48.124145
14T-220-0-0201BL,Line,14.477577,48.124145
14T-220-0-0204CA,Line,14.477577,48.124145
14T-220-0-0205AB,Line,14.477577,48.124145
14T-220-0-002027,Line,14.477577,48.124145
14T-221-0-00206Q,Line,14.477577,48.124145
14T-380-0-0434AP,Line,15.73709,48.268738
14T-220-0-00268E,Line,14.174128,46.535923
14T-220-0-0266CH,Line,14.174128,46.535923
11TD400000529-L8,Line,9.18,49.19
11TD400000545-LE,Line,10.12,48.9
11TD400000544-LI,Line,10.12,48.9
14T-220-0-0266AL,Line,13.679869,46.543205
14T-220-0-0266BJ,Line,13.679869,46.543205
11T0-0000-1507-D,Line,9.15,49.15
11TD400000527-LG,Line,9.15,49.15
11TD400000551-LP,Line,9.15,49.15
11TD400000524-LS,Line,9.15,49.15
11TD40000A530-L6,Line,9.38,49.15
11TD400000525-LO,Line,9.15,49.15
11TD400000534-LN,Line,9.65,47.75
11TD40000A536-LJ,Line,9.65,47.75
14T-220-0-0204BC,Line,13.901898,48.081023
14T-220-0-00286C,Line,15.022336,47.398497
14T-220-0-0225A3,Line,15.022336,47.398497
14T-220-0-0226A0,Line,15.042336,47.418497
14T-221-0-00223Q,Line,15.022336,47.398497
14T-220-0-00224Y,Line,15.042336,47.418497
14T-220-0-00287A,Line,15.022336,47.398497
11TD400000543-LM,Line,9.45,49.6
27T-TLI-V210---F,Line,15.1141017,50.6590806
27T-TLI-V451---9,Line,15.1141017,50.6590806
27T-TLI-V452---4,Line,15.1141017,50.6590806
27T-TLI-V209---D,Line,14.7657787,50.1414933
27T-TLI-V400---7,Line,14.7657787,50.1414933
27T-TLI-V454---V,Line,14.7857787,50.1614933
27T-TLI-V422---M,Line,16.4580272,49.3335228
27T-TLI-V423---H,Line,16.4580272,49.3335228
27T-TLI-V434---6,Line,16.4580272,49.3335228
27T-TLI-V415---D,Line,14.5047519,50.0196119
27T-TLI-V480---X,Line,13.8020731,50.5846064
27T-TLI-V431---L,Line,13.4728211,49.7820772
27T-TLI-V433---B,Line,14.421615,49.0276783
27T-TLI-V458---B,Line,17.6488983,49.972515
27T-TLI-V459---6,Line,17.6488983,49.972515
27T-TLI-V412---S,Line,13.3220743,50.3455923
27T-TLI-V420---W,Line,13.3220743,50.3455923
27T-TLI-V430---Q,Line,13.3220743,50.3455923
27T-TLI-V405---J,Line,17.9425447,49.67951
27T-TLI-V473---O,Line,14.3524778,49.1612178
27T-TLI-V474---J,Line,14.3724778,49.18121780000001
27T-TLI-V476---9,Line,14.3524778,49.1612178
27T-TLI-V402---Y,Line,16.6706297,49.8604058
27T-TLI-V253---D,Line,18.3162856,49.7081603
27T-TLI-V254---8,Line,18.3362856,49.72816030000001
27T-TLI-V205---X,Line,14.5304181,50.0850408
27T-TLI-V204---1,Line,14.0709108,49.59512
27T-TLI-V208---I,Line,14.0709108,49.59512
27T-TLI-V453--X5,Line,15.8371808,50.3383211
27T-TLI-V460---8,Line,18.4313886,49.6671203
27T-TLI-V202---B,Line,15.6488028,50.0311943
27T-TLI-V203---6,Line,15.6488028,50.0311943
27T-TLI-V417---3,Line,17.5595769,49.2193025
27T-TLI-V418---Z,Line,17.5595769,49.2193025
27T-TLI-V216---M,Line,13.3333328,49.5903028
27T-TLI-V221---4,Line,13.3333328,49.5903028
27T-TLI-V432---G,Line,13.3333328,49.5903028
27T-TLI-V251---N,Line,17.4980789,49.5060122
27T-TLI-V252---I,Line,17.5180789,49.5260122
27T-TLI-V403---T,Line,17.4980789,49.5060122
27T-TLI-V416MP-N,Line,17.4980789,49.5060122
27T-TLI-V413RM-R,Line,14.3308189,50.0182617
27T-TLI-V414---I,Line,14.3308189,50.0182617
27T-TLI-V475---E,Line,14.3308189,50.0182617
27T-TLI-V435---1,Line,16.1207108,49.10758
27T-TLI-V436---X,Line,16.1407108,49.12758
27T-TLI-V207---N,Line,14.6910172,49.4122656
27T-TLI-V401---2,Line,15.3617453,50.056595
27T-TLI-V490---R,Line,12.6773419,50.1599242
27T-TLI-V201---G,Line,13.6958895,50.394961
27T-TLI-V211---A,Line,13.8220731,50.6046064
27T-TLI-V225---L,Line,13.6958895,50.394961
27T-TLI-V226---G,Line,13.7158895,50.41496100000001
27T-TLI-V410---1,Line,13.7158895,50.41496100000001
27T-TLI-V411---X,Line,13.7358895,50.434961
27T-TLI-V419---U,Line,13.7358895,50.434961
27T-TLI-V428---T,Line,13.6958895,50.394961
27T-TLI-V450---E,Line,13.7158895,50.41496100000001
27T-TLI-V449---C,Line,18.5059508,49.7846711
